No,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,TradePrice,FloorPlan,Area,AreaIsGreaterFlag,UnitPrice,PricePerTsubo,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Year,Quarter,Renovation,Remarks
1,Residential Land(Land and Building),Residential Area,6201,Yamagata Prefecture,Yamagata City,Aioicho,Kitayamagata,13,13,13,3000000,,240,0,,,Irregular Shaped,,False,220,0,,0,,Warehouse,House,Northwest,City Road,3.6,Commercial Zone,80.0,400.0,1st quarter 2017,2017,1,,
2,Residential Land(Land Only),Residential Area,6201,Yamagata Prefecture,Yamagata City,Aioicho,Kitayamagata,14,14,14,5100000,,75,0,67000.0,220000.0,Semi-rectangular Shaped,15.0,False,,0,,0,,,House,West,City Road,7.0,Commercial Zone,80.0,400.0,1st quarter 2017,2017,1,,
3,Residential Land(Land Only),Commercial Area,6201,Yamagata Prefecture,Yamagata City,Aioicho,Kitayamagata,14,14,14,10000000,,110,0,95000.0,310000.0,Semi-rectangular Shaped,8.5,False,,0,,0,,,Other,North,Prefectural Road,11.5,Commercial Zone,80.0,400.0,2nd quarter 2016,2016,2,,Dealings of adjacent land
4,Residential Land(Land and Building),Residential Area,6201,Yamagata Prefecture,Yamagata City,Aioicho,Kitayamagata,15,15,15,22000000,,140,0,,,Semi-shaped,7.5,False,90,0,2014,0,W,House,House,South,City Road,3.4,Commercial Zone,80.0,400.0,1st quarter 2016,2016,1,,Dealings including private road
5,Residential Land(Land Only),Commercial Area,6201,Yamagata Prefecture,Yamagata City,Aioicho,Kitayamagata,14,14,14,55000000,,510,0,110000.0,350000.0,Semi-trapezoidal Shaped,26.5,False,,0,,0,,,House,East,Prefectural Road,25.0,Commercial Zone,80.0,400.0,3rd quarter 2015,2015,3,,
6,Residential Land(Land Only),Residential Area,6201,Yamagata Prefecture,Yamagata City,Aioicho,Kitayamagata,15,15,15,12000000,,90,0,140000.0,450000.0,Rectangular Shaped,6.5,False,,0,,0,,,Other,West,City Road,7.0,Commercial Zone,80.0,400.0,1st quarter 2015,2015,1,,
7,Residential Land(Land Only),Residential Area,6201,Yamagata Prefecture,Yamagata City,Aioicho,Kitayamagata,15,15,15,15000000,,200,0,73000.0,240000.0,Rectangular Shaped,8.5,False,,0,,0,,,House,East,City Road,7.0,Commercial Zone,80.0,400.0,4th quarter 2014,2014,4,,
8,Residential Land(Land Only),Commercial Area,6201,Yamagata Prefecture,Yamagata City,Aioicho,Kitayamagata,15,15,15,30000000,,420,0,71000.0,240000.0,Irregular Shaped,,False,,0,,0,,,Office,Southwest,City Road,10.0,Commercial Zone,80.0,400.0,3rd quarter 2014,2014,3,,
9,Residential Land(Land and Building),Residential Area,6201,Yamagata Prefecture,Yamagata City,Aioicho,Kitayamagata,15,15,15,28000000,,530,0,,,Irregular Shaped,8.0,False,105,0,,0,W,House,,East,City Road,7.1,Commercial Zone,80.0,400.0,1st quarter 2014,2014,1,,
10,Residential Land(Land Only),Residential Area,6201,Yamagata Prefecture,Yamagata City,Aioicho,Yamagata,21,21,21,20000000,,240,0,85000.0,280000.0,Semi-rectangular Shaped,11.5,False,,0,,0,,,Other,East,City Road,7.2,Commercial Zone,80.0,400.0,3rd quarter 2018,2018,3,,
11,"Pre-owned Condominiums, etc.",,6201,Yamagata Prefecture,Yamagata City,Aioicho,Yamagata,23,23,23,7000000,2DK,45,0,,,,,False,,0,1989,0,SRC,House,House,,,,Commercial Zone,80.0,400.0,3rd quarter 2018,2018,3,Not yet,
12,"Pre-owned Condominiums, etc.",,6201,Yamagata Prefecture,Yamagata City,Aioicho,Yamagata,23,23,23,4000000,1K,20,0,,,,,False,,0,1989,0,SRC,,House,,,,Commercial Zone,80.0,400.0,1st quarter 2018,2018,1,Not yet,
13,"Pre-owned Condominiums, etc.",,6201,Yamagata Prefecture,Yamagata City,Aioicho,Yamagata,23,23,23,8000000,2LDK,40,0,,,,,False,,0,1989,0,SRC,House,House,,,,Commercial Zone,80.0,400.0,1st quarter 2017,2017,1,Done,
14,"Pre-owned Condominiums, etc.",,6201,Yamagata Prefecture,Yamagata City,Aioicho,Yamagata,23,23,23,5900000,2DK,40,0,,,,,False,,0,1989,0,SRC,House,House,,,,Commercial Zone,80.0,400.0,3rd quarter 2016,2016,3,Not yet,
15,"Pre-owned Condominiums, etc.",,6201,Yamagata Prefecture,Yamagata City,Aioicho,Yamagata,23,23,23,13000000,2LDK,55,0,,,,,False,,0,1989,0,SRC,House,House,,,,Commercial Zone,80.0,400.0,2nd quarter 2015,2015,2,Done,
16,"Pre-owned Condominiums, etc.",,6201,Yamagata Prefecture,Yamagata City,Aioicho,Yamagata,23,23,23,9900000,3LDK,55,0,,,,,False,,0,1989,0,SRC,House,House,,,,Commercial Zone,80.0,400.0,2nd quarter 2015,2015,2,Done,
17,"Pre-owned Condominiums, etc.",,6201,Yamagata Prefecture,Yamagata City,Aioicho,Yamagata,23,23,23,4000000,1LDK,35,0,,,,,False,,0,1989,0,SRC,House,House,,,,Commercial Zone,80.0,400.0,3rd quarter 2014,2014,3,Done,
18,Residential Land(Land Only),Residential Area,6201,Yamagata Prefecture,Yamagata City,Aota,Yamagata,30-60minutes,30,60,20000000,,260,0,77000.0,260000.0,Rectangular Shaped,21.1,False,,0,,0,,,House,South,City Road,6.0,Category II Exclusively Low-story Residential Zone,60.0,150.0,3rd quarter 2019,2019,3,,
19,Residential Land(Land Only),Residential Area,6201,Yamagata Prefecture,Yamagata City,Aota,Yamagata,30-60minutes,30,60,12000000,,170,0,71000.0,230000.0,Rectangular Shaped,12.0,False,,0,,0,,,House,West,City Road,3.7,Category II Exclusively Low-story Residential Zone,60.0,150.0,4th quarter 2018,2018,4,,Dealings including private road
