No,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,TradePrice,FloorPlan,Area,AreaIsGreaterFlag,UnitPrice,PricePerTsubo,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Year,Quarter,Renovation,Remarks
1,Residential Land(Land and Building),Residential Area,32201,Shimane Prefecture,Matsue City,Aikacho,Aikamachi,26,26,26,1600000,,370,0,,,Semi-trapezoidal Shaped,24.0,False,85,0,,0,W,House,House,East,City Road,5.0,Outside City Planning Area,,,2nd quarter 2019,2019,2,,
2,Residential Land(Land Only),Residential Area,32201,Shimane Prefecture,Matsue City,Aikacho,Aikamachi,4,4,4,5200000,,220,0,24000.0,79000.0,Semi-rectangular Shaped,13.5,False,,0,,0,,,House,East,City Road,11.0,Urbanization Control Area,70.0,200.0,1st quarter 2017,2017,1,,
3,Residential Land(Land Only),Residential Area,32201,Shimane Prefecture,Matsue City,Aikacho,Aikamachi,1H-1H30,60,90,2800000,,170,0,4100.0,14000.0,Irregular Shaped,5.0,False,,0,,0,,,Other,No facing road,,,Urbanization Control Area,70.0,200.0,1st quarter 2016,2016,1,,
4,Residential Land(Land Only),Residential Area,32201,Shimane Prefecture,Matsue City,Aikacho,Aikamachi,7,7,7,8000000,,290,0,27000.0,90000.0,Semi-rectangular Shaped,15.0,False,,0,,0,,,House,North,City Road,6.0,Urbanization Control Area,50.0,80.0,3rd quarter 2015,2015,3,,
5,Residential Land(Land Only),Residential Area,32201,Shimane Prefecture,Matsue City,Aikacho,Aikamachi,5,5,5,8100000,,250,0,33000.0,110000.0,Semi-rectangular Shaped,15.6,False,,0,,0,,,Other,East,City Road,11.0,Urbanization Control Area,70.0,200.0,3rd quarter 2015,2015,3,,
6,Residential Land(Land Only),Residential Area,32201,Shimane Prefecture,Matsue City,Aikacho,Aikamachi,3,3,3,1800000,,170,0,10000.0,34000.0,Semi-rectangular Shaped,14.0,False,,0,,0,,,Other,Southeast,City Road,4.7,Urbanization Control Area,70.0,200.0,3rd quarter 2014,2014,3,,
7,Agricultural Land,,32201,Shimane Prefecture,Matsue City,Aikacho,,,,,11000,,155,0,,,,,False,,0,,0,,,,,,,,,,2nd quarter 2019,2019,2,,
8,Agricultural Land,,32201,Shimane Prefecture,Matsue City,Aikacho,,,,,110000,,1200,0,,,,,False,,0,,0,,,,,,,,,,1st quarter 2019,2019,1,,
9,Agricultural Land,,32201,Shimane Prefecture,Matsue City,Aikacho,,,,,35000,,150,0,,,,,False,,0,,0,,,,,,,,,,4th quarter 2018,2018,4,,
10,Forest Land,,32201,Shimane Prefecture,Matsue City,Aikacho,,,,,25000,,115,0,,,,,False,,0,,0,,,,,,,,,,2nd quarter 2018,2018,2,,
11,Agricultural Land,,32201,Shimane Prefecture,Matsue City,Aikacho,,,,,400000,,1500,0,,,,,False,,0,,0,,,,,,,,,,4th quarter 2015,2015,4,,
12,Forest Land,,32201,Shimane Prefecture,Matsue City,Aikacho,,,,,2300000,,320,0,,,,,False,,0,,0,,,,,,,,,,4th quarter 2014,2014,4,,
13,Forest Land,,32201,Shimane Prefecture,Matsue City,Aikacho,,,,,380000,,380,0,,,,,False,,0,,0,,,,,,,,,,4th quarter 2014,2014,4,,
14,Agricultural Land,,32201,Shimane Prefecture,Matsue City,Aikacho,,,,,25000,,115,0,,,,,False,,0,,0,,,,,,,,,,2nd quarter 2014,2014,2,,
15,Residential Land(Land and Building),Residential Area,32201,Shimane Prefecture,Matsue City,Aobadai,Matsue,1H-1H30,60,90,9000000,,170,0,,,Rectangular Shaped,12.0,False,105,0,1989,0,LS,House,House,Northwest,City Road,6.0,Category I Residential Zone,60.0,200.0,2nd quarter 2016,2016,2,,
16,Residential Land(Land Only),Residential Area,32201,Shimane Prefecture,Matsue City,Aobadai,Matsue,1H-1H30,60,90,5100000,,180,0,28000.0,93000.0,Semi-trapezoidal Shaped,14.0,False,,0,,0,,,House,Southeast,City Road,4.0,Category I Residential Zone,60.0,200.0,3rd quarter 2015,2015,3,,
17,Residential Land(Land Only),Residential Area,32201,Shimane Prefecture,Matsue City,Agenogi,Nogi,15,15,15,21000000,,330,0,62000.0,200000.0,Irregular Shaped,30.6,False,,0,,0,,,Other,South,City Road,16.0,Category II Residential Zone,60.0,200.0,3rd quarter 2019,2019,3,,
18,Residential Land(Land and Building),Residential Area,32201,Shimane Prefecture,Matsue City,Agenogi,Nogi,20,20,20,18000000,,210,0,,,Rectangular Shaped,10.0,False,120,0,1989,0,W,House,House,Northwest,City Road,12.0,Category I Exclusively Low-story Residential Zone,50.0,100.0,2nd quarter 2019,2019,2,,
19,Residential Land(Land Only),Residential Area,32201,Shimane Prefecture,Matsue City,Agenogi,Nogi,19,19,19,14000000,,210,0,67000.0,220000.0,Semi-rectangular Shaped,10.0,False,,0,,0,,,House,Southeast,City Road,4.0,Category I Exclusively Medium-high Residential Zone,60.0,200.0,2nd quarter 2019,2019,2,,
20,Residential Land(Land Only),Residential Area,32201,Shimane Prefecture,Matsue City,Agenogi,Nogi,21,21,21,9000000,,180,0,50000.0,170000.0,Rectangular Shaped,11.2,False,,0,,0,,,House,Northwest,City Road,4.0,Category I Exclusively Low-story Residential Zone,50.0,100.0,2nd quarter 2019,2019,2,,
21,Residential Land(Land and Building),Residential Area,32201,Shimane Prefecture,Matsue City,Agenogi,Nogi,16,16,16,41000000,,180,0,,,Irregular Shaped,3.6,False,100,0,2018,0,LS,House,House,Northeast,City Road,6.3,Category II Exclusively Medium-high Residential Zone,60.0,200.0,4th quarter 2018,2018,4,,
22,Residential Land(Land Only),Residential Area,32201,Shimane Prefecture,Matsue City,Agenogi,Nogi,19,19,19,16000000,,320,0,50000.0,160000.0,Trapezoidal Shaped,17.0,False,,0,,0,,,House,Northwest,City Road,6.0,Category I Residential Zone,60.0,200.0,4th quarter 2018,2018,4,,
23,Residential Land(Land Only),Residential Area,32201,Shimane Prefecture,Matsue City,Agenogi,Nogi,19,19,19,18000000,,370,0,48000.0,160000.0,Irregular Shaped,13.9,False,,0,,0,,,Other,West,City Road,4.0,Category II Exclusively Medium-high Residential Zone,60.0,200.0,4th quarter 2018,2018,4,,
24,Residential Land(Land and Building),Commercial Area,32201,Shimane Prefecture,Matsue City,Agenogi,Nogi,18,18,18,64000000,,620,0,,,Rectangular Shaped,28.5,False,260,0,2004,0,S,Office,Shop,Southwest,City Road,26.0,Category II Residential Zone,60.0,200.0,4th quarter 2018,2018,4,,
25,"Pre-owned Condominiums, etc.",,32201,Shimane Prefecture,Matsue City,Agenogi,Nogi,11,11,11,25000000,3LDK,85,0,,,,,False,,0,2006,0,RC,House,House,,,,Category II Residential Zone,60.0,200.0,4th quarter 2018,2018,4,Done,
26,Residential Land(Land and Building),Residential Area,32201,Shimane Prefecture,Matsue City,Agenogi,Nogi,19,19,19,25000000,,210,0,,,Semi-shaped,16.0,False,110,0,1995,0,LS,House,House,South,City Road,6.0,Category II Exclusively Medium-high Residential Zone,60.0,200.0,4th quarter 2017,2017,4,,
27,Residential Land(Land and Building),Residential Area,32201,Shimane Prefecture,Matsue City,Agenogi,Nogi,20,20,20,100000,,300,0,,,Irregular Shaped,,False,85,0,1966,0,W,House,House,North,Road,1.0,Category I Exclusively Medium-high Residential Zone,60.0,200.0,4th quarter 2016,2016,4,,
28,Residential Land(Land Only),Residential Area,32201,Shimane Prefecture,Matsue City,Agenogi,Nogi,16,16,16,8300000,,280,0,30000.0,100000.0,Semi-shaped,,False,,0,,0,,,,Southeast,City Road,4.0,Category I Residential Zone,60.0,200.0,4th quarter 2016,2016,4,,
29,Residential Land(Land Only),Residential Area,32201,Shimane Prefecture,Matsue City,Agenogi,Nogi,26,26,26,8800000,,130,0,67000.0,220000.0,Semi-square Shaped,11.0,False,,0,,0,,,House,South,City Road,4.2,Category I Residential Zone,60.0,200.0,4th quarter 2016,2016,4,,
