No,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,TradePrice,FloorPlan,Area,AreaIsGreaterFlag,UnitPrice,PricePerTsubo,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Year,Quarter,Renovation,Remarks
1,Residential Land(Land and Building),Residential Area,31201,Tottori Prefecture,Tottori City,Aioicho,Tottori,25,25,25,6000000,,145,0,,,Semi-rectangular Shaped,7.5,False,110,0,1976,0,W,House,,Northwest,City Road,7.5,Category I Residential Zone,60.0,200.0,2nd quarter 2019,2019,2,,
2,Residential Land(Land and Building),Residential Area,31201,Tottori Prefecture,Tottori City,Aioicho,Tottori,24,24,24,9800000,,135,0,,,Semi-rectangular Shaped,7.5,False,75,0,1975,0,W,House,House,Northwest,City Road,10.0,Category I Residential Zone,60.0,200.0,2nd quarter 2019,2019,2,,
3,Residential Land(Land and Building),Commercial Area,31201,Tottori Prefecture,Tottori City,Aioicho,Tottori,26,26,26,6500000,,135,0,,,Semi-rectangular Shaped,7.0,False,75,0,1975,0,W,House,House,Northwest,City Road,10.0,Category I Residential Zone,60.0,200.0,4th quarter 2018,2018,4,,
4,Residential Land(Land and Building),Residential Area,31201,Tottori Prefecture,Tottori City,Aioicho,Tottori,24,24,24,6500000,,130,0,,,Semi-rectangular Shaped,17.0,False,110,0,1974,0,W,House,,West,City Road,4.0,Category I Residential Zone,60.0,200.0,2nd quarter 2018,2018,2,,
5,Residential Land(Land and Building),Residential Area,31201,Tottori Prefecture,Tottori City,Aioicho,Tottori,20,20,20,15000000,,810,0,,,Irregular Shaped,22.0,False,50,0,,0,W,House,House,Northeast,City Road,2.5,Category I Residential Zone,60.0,200.0,1st quarter 2018,2018,1,,
6,Residential Land(Land and Building),Residential Area,31201,Tottori Prefecture,Tottori City,Aioicho,Tottori,25,25,25,5400000,,135,0,,,Irregular Shaped,15.0,False,95,0,1977,0,W,House,House,Northeast,City Road,4.0,Category I Residential Zone,60.0,200.0,1st quarter 2018,2018,1,,
7,Residential Land(Land and Building),Residential Area,31201,Tottori Prefecture,Tottori City,Aioicho,Tottori,21,21,21,10000000,,200,0,,,Semi-shaped,16.0,False,75,0,1991,0,W,House,House,Southwest,City Road,10.0,Category I Residential Zone,60.0,200.0,3rd quarter 2017,2017,3,,
8,Residential Land(Land and Building),Residential Area,31201,Tottori Prefecture,Tottori City,Aioicho,Tottori,21,21,21,16000000,,200,0,,,Semi-rectangular Shaped,16.0,False,75,0,1991,0,W,House,House,West,City Road,11.0,Category I Residential Zone,60.0,200.0,3rd quarter 2017,2017,3,,
9,Residential Land(Land and Building),Residential Area,31201,Tottori Prefecture,Tottori City,Aioicho,Tottori,19,19,19,18000000,,130,0,,,Semi-rectangular Shaped,7.0,False,100,0,1975,0,W,House,House,West,City Road,8.0,Category I Residential Zone,60.0,200.0,2nd quarter 2017,2017,2,,
10,Residential Land(Land Only),Residential Area,31201,Tottori Prefecture,Tottori City,Aioicho,Tottori,25,25,25,5800000,,135,0,44000.0,140000.0,Semi-rectangular Shaped,9.5,False,,0,,0,,,House,West,City Road,4.5,Category I Residential Zone,60.0,200.0,1st quarter 2017,2017,1,,
11,Residential Land(Land and Building),Commercial Area,31201,Tottori Prefecture,Tottori City,Aioicho,Tottori,30-60minutes,30,60,34000000,,300,0,,,Irregular Shaped,21.0,False,290,0,1995,0,S,Office,Office,Southeast,National Highway,13.0,Neighborhood Commercial Zone,80.0,200.0,1st quarter 2017,2017,1,,
12,Residential Land(Land and Building),Residential Area,31201,Tottori Prefecture,Tottori City,Aioicho,Tottori,24,24,24,24000000,,320,0,,,Irregular Shaped,7.5,False,170,0,1989,0,W,House,House,East,City Road,7.5,Category I Residential Zone,60.0,200.0,4th quarter 2016,2016,4,,
13,Residential Land(Land and Building),Residential Area,31201,Tottori Prefecture,Tottori City,Aioicho,Tottori,19,19,19,28000000,,130,0,,,Semi-rectangular Shaped,7.5,False,165,0,2004,0,S,House,,West,City Road,8.0,Category I Residential Zone,60.0,200.0,4th quarter 2016,2016,4,,
14,Residential Land(Land and Building),Residential Area,31201,Tottori Prefecture,Tottori City,Aioicho,Tottori,26,26,26,25000000,,145,0,,,Semi-rectangular Shaped,8.3,False,90,0,2016,0,W,House,House,Southwest,City Road,4.0,Neighborhood Commercial Zone,80.0,200.0,4th quarter 2016,2016,4,,
15,Residential Land(Land Only),Residential Area,31201,Tottori Prefecture,Tottori City,Aioicho,Tottori,25,25,25,7800000,,130,0,60000.0,200000.0,Semi-rectangular Shaped,7.0,False,,0,,0,,,House,West,City Road,9.0,Category I Residential Zone,60.0,200.0,3rd quarter 2016,2016,3,,
16,Residential Land(Land Only),Residential Area,31201,Tottori Prefecture,Tottori City,Aioicho,Tottori,21,21,21,7000000,,145,0,49000.0,160000.0,Semi-rectangular Shaped,9.5,False,,0,,0,,,House,West,City Road,5.0,Category I Residential Zone,60.0,200.0,2nd quarter 2016,2016,2,,
17,Residential Land(Land and Building),Commercial Area,31201,Tottori Prefecture,Tottori City,Aioicho,Tottori,21,21,21,6600000,,75,0,,,Semi-trapezoidal Shaped,7.0,False,80,0,1961,0,W,House,,West,City Road,9.0,Category I Residential Zone,60.0,200.0,1st quarter 2016,2016,1,,
18,Residential Land(Land Only),Residential Area,31201,Tottori Prefecture,Tottori City,Aioicho,Tottori,25,25,25,2000000,,55,0,35000.0,120000.0,Semi-rectangular Shaped,10.0,False,,0,,0,,,Other,No facing road,,,Category I Residential Zone,60.0,200.0,3rd quarter 2015,2015,3,,
19,Residential Land(Land Only),Residential Area,31201,Tottori Prefecture,Tottori City,Aioicho,Tottori,25,25,25,8500000,,200,0,42000.0,140000.0,Semi-trapezoidal Shaped,9.0,False,,0,,0,,,Other,North,City Road,6.0,Category I Residential Zone,60.0,200.0,3rd quarter 2015,2015,3,,
20,Residential Land(Land and Building),Residential Area,31201,Tottori Prefecture,Tottori City,Aioicho,Tottori,24,24,24,6000000,,130,0,,,Semi-rectangular Shaped,6.5,False,115,0,1958,0,W,House,House,Northwest,City Road,4.0,Category I Residential Zone,60.0,200.0,1st quarter 2015,2015,1,,
21,Residential Land(Land and Building),Residential Area,31201,Tottori Prefecture,Tottori City,Aioicho,Tottori,23,23,23,6800000,,140,0,,,Semi-rectangular Shaped,8.0,False,95,0,1974,0,W,House,House,Southwest,City Road,4.0,Category I Residential Zone,60.0,200.0,3rd quarter 2014,2014,3,,
22,Residential Land(Land Only),Residential Area,31201,Tottori Prefecture,Tottori City,Aioicho,Tottori,27,27,27,7100000,,130,0,54000.0,180000.0,Semi-rectangular Shaped,7.0,False,,0,,0,,,House,Northeast,City Road,7.0,Neighborhood Commercial Zone,80.0,300.0,3rd quarter 2014,2014,3,,
23,Residential Land(Land and Building),Residential Area,31201,Tottori Prefecture,Tottori City,Aioicho,Tottori,25,25,25,9500000,,130,0,,,Semi-rectangular Shaped,7.0,False,80,0,1978,0,LS,House,House,Northwest,City Road,8.0,Category I Residential Zone,60.0,200.0,2nd quarter 2014,2014,2,,
24,Residential Land(Land Only),Residential Area,31201,Tottori Prefecture,Tottori City,Aioicho,Tottori,29,29,29,7200000,,135,0,53000.0,170000.0,Trapezoidal Shaped,10.5,False,,0,,0,,,,West,City Road,6.0,Category I Residential Zone,60.0,200.0,1st quarter 2014,2014,1,,
25,Residential Land(Land Only),Commercial Area,31201,Tottori Prefecture,Tottori City,Aobacho,Tottori,30-60minutes,30,60,270000000,,2000,1,42000.0,140000.0,Irregular Shaped,42.0,False,,0,,0,,,Other,Southwest,National Highway,14.0,Neighborhood Commercial Zone,80.0,200.0,3rd quarter 2018,2018,3,,
26,Residential Land(Land Only),Commercial Area,31201,Tottori Prefecture,Tottori City,Aobacho,Tottori,29,29,29,3200000,,170,0,19000.0,63000.0,Irregular Shaped,2.5,False,,0,,0,,,Shop,Southwest,National Highway,15.0,Neighborhood Commercial Zone,80.0,200.0,3rd quarter 2018,2018,3,,
27,"Pre-owned Condominiums, etc.",,31201,Tottori Prefecture,Tottori City,Aobacho,Tottori,30-60minutes,30,60,19000000,2LDK,80,0,,,,,False,,0,2008,0,RC,,House,,,,Neighborhood Commercial Zone,80.0,200.0,3rd quarter 2017,2017,3,Done,
28,Residential Land(Land and Building),Commercial Area,31201,Tottori Prefecture,Tottori City,Aobacho,Tottori,27,27,27,25000000,,500,0,,,Semi-trapezoidal Shaped,15.0,False,680,0,1974,0,RC,Office,Office,Southwest,National Highway,15.0,Neighborhood Commercial Zone,80.0,300.0,1st quarter 2016,2016,1,,
29,Residential Land(Land Only),Residential Area,31201,Tottori Prefecture,Tottori City,Aobacho,Tottori,30-60minutes,30,60,6500000,,135,0,48000.0,160000.0,Semi-square Shaped,11.0,False,,0,,0,,,House,South,City Road,3.5,Category II Exclusively Medium-high Residential Zone,60.0,200.0,1st quarter 2015,2015,1,,
30,Residential Land(Land Only),Residential Area,31201,Tottori Prefecture,Tottori City,Aoyachoaoya,Aoya,5,5,5,800000,,160,0,4900.0,16000.0,Irregular Shaped,4.5,False,,0,,0,,,House,West,City Road,4.0,Non-divided City Planning Area,70.0,400.0,1st quarter 2019,2019,1,,
31,Residential Land(Land Only),Residential Area,31201,Tottori Prefecture,Tottori City,Aoyachoaoya,Aoya,12,12,12,2200000,,175,0,13000.0,43000.0,Semi-rectangular Shaped,15.0,False,,0,,0,,,Other,Northwest,Road,2.5,Non-divided City Planning Area,70.0,400.0,1st quarter 2018,2018,1,,
32,Residential Land(Land Only),Residential Area,31201,Tottori Prefecture,Tottori City,Aoyachoaoya,Aoya,15,15,15,500000,,220,0,2300.0,7500.0,Semi-rectangular Shaped,8.0,False,,0,,0,,,,Southeast,City Road,2.5,Non-divided City Planning Area,70.0,400.0,4th quarter 2017,2017,4,,
33,Residential Land(Land Only),Residential Area,31201,Tottori Prefecture,Tottori City,Aoyachoaoya,Aoya,3,3,3,1300000,,80,0,16000.0,54000.0,Semi-rectangular Shaped,7.0,False,,0,,0,,,Other,Southwest,Private Road,2.0,Non-divided City Planning Area,70.0,400.0,1st quarter 2017,2017,1,,
34,Residential Land(Land Only),Residential Area,31201,Tottori Prefecture,Tottori City,Aoyachoaoya,Aoya,8,8,8,8400000,,670,0,12000.0,41000.0,Semi-trapezoidal Shaped,,False,,0,,0,,,Other,Southwest,City Road,8.0,Non-divided City Planning Area,70.0,400.0,1st quarter 2017,2017,1,,
35,Residential Land(Land Only),Residential Area,31201,Tottori Prefecture,Tottori City,Aoyachoaoya,Aoya,13,13,13,3700000,,250,0,15000.0,49000.0,Semi-rectangular Shaped,15.0,False,,0,,0,,,Other,South,City Road,9.0,Non-divided City Planning Area,70.0,400.0,4th quarter 2016,2016,4,,
36,Residential Land(Land and Building),Industrial Area,31201,Tottori Prefecture,Tottori City,Aoyachoaoya,Aoya,8,8,8,1000000,,510,0,,,Semi-rectangular Shaped,20.0,False,240,0,1985,0,,,Warehouse,Northeast,City Road,6.0,Non-divided City Planning Area,70.0,400.0,3rd quarter 2016,2016,3,,
37,Residential Land(Land and Building),Residential Area,31201,Tottori Prefecture,Tottori City,Aoyachoaoya,Aoya,14,14,14,5500000,,230,0,,,Semi-trapezoidal Shaped,16.5,False,130,0,1985,0,W,House,House,Southwest,City Road,6.0,Non-divided City Planning Area,60.0,400.0,3rd quarter 2016,2016,3,,
38,Residential Land(Land and Building),Residential Area,31201,Tottori Prefecture,Tottori City,Aoyachoaoya,Aoya,14,14,14,6400000,,620,0,,,Semi-trapezoidal Shaped,20.0,False,155,0,,0,W,Office,Other,Southeast,City Road,6.0,Non-divided City Planning Area,70.0,400.0,3rd quarter 2016,2016,3,,
39,Residential Land(Land Only),Residential Area,31201,Tottori Prefecture,Tottori City,Aoyachoaoya,Aoya,9,9,9,700000,,70,0,10000.0,33000.0,Semi-rectangular Shaped,6.0,False,,0,,0,,,Warehouse,Southeast,City Road,4.0,Non-divided City Planning Area,70.0,400.0,3rd quarter 2015,2015,3,,
40,Residential Land(Land Only),Residential Area,31201,Tottori Prefecture,Tottori City,Aoyachoaoya,Aoya,8,8,8,2000000,,195,0,10000.0,34000.0,Semi-rectangular Shaped,10.0,False,,0,,0,,,House,Southeast,City Road,3.0,Non-divided City Planning Area,70.0,400.0,3rd quarter 2015,2015,3,,
41,Residential Land(Land Only),Residential Area,31201,Tottori Prefecture,Tottori City,Aoyachoaoya,Aoya,15,15,15,1500000,,100,0,15000.0,51000.0,Semi-shaped,7.0,False,,0,,0,,,Other,Southeast,Prefectural Road,4.5,Non-divided City Planning Area,70.0,400.0,3rd quarter 2015,2015,3,,
42,Residential Land(Land Only),Commercial Area,31201,Tottori Prefecture,Tottori City,Aoyachoaoya,Aoya,3,3,3,6600000,,310,0,21000.0,70000.0,Irregular Shaped,12.0,False,,0,,0,,,Other,Northeast,Prefectural Road,5.0,Non-divided City Planning Area,70.0,400.0,2nd quarter 2014,2014,2,,
43,Agricultural Land,,31201,Tottori Prefecture,Tottori City,Aoyachoaoya,,,,,2400000,,430,0,,,,,False,,0,,0,,,,,,,,,,2nd quarter 2018,2018,2,,
44,Forest Land,,31201,Tottori Prefecture,Tottori City,Aoyachoaoya,,,,,360000,,1200,0,,,,,False,,0,,0,,,,,,,,,,2nd quarter 2015,2015,2,,
45,Agricultural Land,,31201,Tottori Prefecture,Tottori City,Aoyachoaoya,,,,,37000,,125,0,,,,,False,,0,,0,,,,,,,,,,1st quarter 2015,2015,1,,
46,Forest Land,,31201,Tottori Prefecture,Tottori City,Aoyachoaoya,,,,,65000,,220,0,,,,,False,,0,,0,,,,,,,,,,1st quarter 2015,2015,1,,
47,Forest Land,,31201,Tottori Prefecture,Tottori City,Aoyachoaoya,,,,,46000,,155,0,,,,,False,,0,,0,,,,,,,,,,4th quarter 2014,2014,4,,
48,Agricultural Land,,31201,Tottori Prefecture,Tottori City,Aoyachoaoya,,,,,37000,,125,0,,,,,False,,0,,0,,,,,,,,,,4th quarter 2014,2014,4,,
49,Forest Land,,31201,Tottori Prefecture,Tottori City,Aoyachoaoya,,,,,34000,,110,0,,,,,False,,0,,0,,,,,,,,,,4th quarter 2014,2014,4,,
50,Forest Land,,31201,Tottori Prefecture,Tottori City,Aoyachoaoya,,,,,56000,,185,0,,,,,False,,0,,0,,,,,,,,,,4th quarter 2014,2014,4,,
51,Agricultural Land,,31201,Tottori Prefecture,Tottori City,Aoyachoaoya,,,,,4300000,,2000,0,,,,,False,,0,,0,,,Other,,,,,,,3rd quarter 2014,2014,3,,
52,Agricultural Land,,31201,Tottori Prefecture,Tottori City,Aoyachoaoya,,,,,10000000,,5000,1,,,,,False,,0,,0,,,Other,,,,,,,3rd quarter 2014,2014,3,,
53,Forest Land,,31201,Tottori Prefecture,Tottori City,Aoyachoaoya,,,,,440000,,1300,0,,,,,False,,0,,0,,,,,,,,,,2nd quarter 2014,2014,2,,
54,Forest Land,,31201,Tottori Prefecture,Tottori City,Aoyachoaoya,,,,,200000,,580,0,,,,,False,,0,,0,,,,,,,,,,2nd quarter 2014,2014,2,,
55,Agricultural Land,,31201,Tottori Prefecture,Tottori City,Aoyachootsubo,,,,,1200000,,3200,0,,,,,False,,0,,0,,,,,,,,,,1st quarter 2017,2017,1,,
56,Residential Land(Land Only),Residential Area,31201,Tottori Prefecture,Tottori City,Aoyachoobata,Aoya,1H30-2H,90,120,170000,,50,0,3600.0,12000.0,Semi-shaped,,False,,0,,0,,,,North,City Road,3.0,Outside City Planning Area,,,1st quarter 2018,2018,1,,
