No,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,TradePrice,FloorPlan,Area,AreaIsGreaterFlag,UnitPrice,PricePerTsubo,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Year,Quarter,Renovation,Remarks
1,Residential Land(Land and Building),Commercial Area,39201,Kochi Prefecture,Kochi City,Aioicho,Kochi,7,7,7,20000000,,105,0,,,Semi-trapezoidal Shaped,7.5,False,105,0,2003,0,W,"House, Housing Complex",Warehouse,East,Prefectural Road,27.0,Quasi-industrial Zone,60.0,200.0,2nd quarter 2019,2019,2,,
2,Residential Land(Land Only),Commercial Area,39201,Kochi Prefecture,Kochi City,Aioicho,Kochi,4,4,4,31000000,,220,0,140000.0,450000.0,Semi-trapezoidal Shaped,9.4,False,,0,,0,,,Other,North,City Road,10.0,Commercial Zone,80.0,400.0,3rd quarter 2017,2017,3,,
3,Residential Land(Land and Building),Residential Area,39201,Kochi Prefecture,Kochi City,Aoyagicho,Kochi,30-60minutes,30,60,21000000,,220,0,,,Rectangular Shaped,14.2,False,290,0,1991,0,S,Warehouse,Warehouse,Northeast,City Road,4.6,Industrial Zone,60.0,200.0,2nd quarter 2017,2017,2,,
4,Residential Land(Land and Building),Residential Area,39201,Kochi Prefecture,Kochi City,Aoyagicho,Kochi,30-60minutes,30,60,13000000,,115,0,,,Rectangular Shaped,8.0,False,120,0,1988,0,W,House,House,South,City Road,5.0,Industrial Zone,60.0,200.0,1st quarter 2017,2017,1,,
5,Residential Land(Land Only),Residential Area,39201,Kochi Prefecture,Kochi City,Aoyagicho,Kochi,30-60minutes,30,60,6500000,,100,0,64000.0,210000.0,Rectangular Shaped,7.2,False,,0,,0,,,Other,Northeast,City Road,4.0,Industrial Zone,60.0,200.0,4th quarter 2015,2015,4,,
6,Residential Land(Land and Building),Residential Area,39201,Kochi Prefecture,Kochi City,Aoyagicho,Kochi,30-60minutes,30,60,20000000,,610,0,,,Trapezoidal Shaped,15.0,False,240,0,1998,0,W,House,Other,East,City Road,4.4,Industrial Zone,60.0,150.0,2nd quarter 2014,2014,2,,Dealings in which auction or arbiter participates
7,Residential Land(Land and Building),Residential Area,39201,Kochi Prefecture,Kochi City,Akaishicho,Asahi (Kochi),4,4,4,10000000,,380,0,,,Rectangular Shaped,,False,135,0,,0,W,House,House,West,Private Road,3.0,Category I Residential Zone,60.0,200.0,3rd quarter 2018,2018,3,,
8,Residential Land(Land and Building),Residential Area,39201,Kochi Prefecture,Kochi City,Akaishicho,Asahi (Kochi),5,5,5,35000000,,165,0,,,Semi-trapezoidal Shaped,13.7,False,115,0,2017,0,W,House,House,Southwest,Private Road,4.0,Category I Residential Zone,60.0,200.0,3rd quarter 2017,2017,3,,
9,Residential Land(Land Only),Residential Area,39201,Kochi Prefecture,Kochi City,Akaishicho,Asahi (Kochi),5,5,5,21000000,,165,0,130000.0,420000.0,Trapezoidal Shaped,,False,,0,,0,,,House,North,Private Road,4.9,Category I Residential Zone,60.0,200.0,3rd quarter 2016,2016,3,,
10,Residential Land(Land and Building),Residential Area,39201,Kochi Prefecture,Kochi City,Akaishicho,Asahi (Kochi),5,5,5,30000000,,710,0,,,Irregular Shaped,29.9,False,,0,,0,,,House,Southwest,Private Road,4.0,Category I Residential Zone,60.0,200.0,3rd quarter 2016,2016,3,,Dealings including private road
11,Residential Land(Land Only),Residential Area,39201,Kochi Prefecture,Kochi City,Akaishicho,Asahi (Kochi),4,4,4,31000000,,230,0,130000.0,450000.0,Semi-trapezoidal Shaped,16.5,False,,0,,0,,,House,North,Private Road,5.0,Category I Residential Zone,60.0,200.0,3rd quarter 2016,2016,3,,
12,Residential Land(Land and Building),Residential Area,39201,Kochi Prefecture,Kochi City,Akaishicho,Asahi (Kochi),5,5,5,5000000,,115,0,,,Semi-rectangular Shaped,12.2,False,85,0,1966,0,W,House,House,West,City Road,3.8,Category I Residential Zone,60.0,200.0,3rd quarter 2016,2016,3,,
13,Residential Land(Land and Building),Residential Area,39201,Kochi Prefecture,Kochi City,Akaishicho,Asahi (Kochi),4,4,4,21000000,,1300,0,,,Irregular Shaped,20.0,False,310,0,,0,W,House,Other,East,City Road,7.0,Category I Residential Zone,60.0,200.0,2nd quarter 2016,2016,2,,
14,Residential Land(Land Only),Residential Area,39201,Kochi Prefecture,Kochi City,Akaishicho,Asahi (Kochi),7,7,7,12000000,,155,0,74000.0,240000.0,Semi-trapezoidal Shaped,10.0,False,,0,,0,,,House,South,City Road,2.9,Category I Residential Zone,60.0,200.0,3rd quarter 2015,2015,3,,
15,Residential Land(Land Only),Residential Area,39201,Kochi Prefecture,Kochi City,Akaishicho,Asahi (Kochi),7,7,7,6300000,,100,0,62000.0,200000.0,Semi-rectangular Shaped,8.5,False,,0,,0,,,Other,South,City Road,2.7,Category I Residential Zone,60.0,200.0,1st quarter 2015,2015,1,,
16,Residential Land(Land Only),Commercial Area,39201,Kochi Prefecture,Kochi City,Akebonocho,Asakura (JR),4,4,4,5600000,,115,0,49000.0,160000.0,Trapezoidal Shaped,7.0,False,,0,,0,,,Other,South,Prefectural Road,10.0,Neighborhood Commercial Zone,80.0,200.0,3rd quarter 2019,2019,3,,
17,Residential Land(Land Only),Residential Area,39201,Kochi Prefecture,Kochi City,Akebonocho,Asakura (JR),10,10,10,11000000,,130,0,83000.0,270000.0,Irregular Shaped,14.0,False,,0,,0,,,House,South,City Road,4.0,Category I Exclusively Medium-high Residential Zone,60.0,200.0,1st quarter 2019,2019,1,,
18,Residential Land(Land and Building),Residential Area,39201,Kochi Prefecture,Kochi City,Akebonocho,Asakura (JR),15,15,15,15000000,,230,0,,,Irregular Shaped,7.5,False,125,0,1974,0,W,"House, Shop",,Southeast,City Road,4.5,Category I Exclusively Medium-high Residential Zone,60.0,200.0,4th quarter 2017,2017,4,,
19,Residential Land(Land and Building),Commercial Area,39201,Kochi Prefecture,Kochi City,Akebonocho,Asakura (JR),8,8,8,20000000,,260,0,,,Rectangular Shaped,12.0,False,155,0,1996,0,W,House,House,North,Prefectural Road,8.5,Neighborhood Commercial Zone,80.0,200.0,4th quarter 2017,2017,4,,
20,Residential Land(Land and Building),Commercial Area,39201,Kochi Prefecture,Kochi City,Akebonocho,Asakura (JR),4,4,4,2200000,,50,0,,,Semi-shaped,,False,,0,,0,,,,North,Prefectural Road,15.0,,,,3rd quarter 2017,2017,3,,
21,Residential Land(Land and Building),Residential Area,39201,Kochi Prefecture,Kochi City,Akebonocho,Asakura (JR),8,8,8,4900000,,45,0,,,Semi-rectangular Shaped,,False,90,0,1982,0,S,Housing Complex,House,West,City Road,3.7,Neighborhood Commercial Zone,80.0,200.0,3rd quarter 2017,2017,3,,
22,Residential Land(Land and Building),Residential Area,39201,Kochi Prefecture,Kochi City,Akebonocho,Asakura (JR),13,13,13,14000000,,165,0,,,Semi-rectangular Shaped,10.9,False,150,0,1986,0,W,"House, Parking Lot",House,Northeast,City Road,4.3,Category I Exclusively Medium-high Residential Zone,60.0,200.0,2nd quarter 2017,2017,2,,
23,Residential Land(Land and Building),Residential Area,39201,Kochi Prefecture,Kochi City,Akebonocho,Asakura (JR),8,8,8,3400000,,45,0,,,Semi-square Shaped,7.0,False,90,0,1982,0,S,Housing Complex,House,West,City Road,3.9,Neighborhood Commercial Zone,80.0,200.0,1st quarter 2017,2017,1,,
24,Residential Land(Land and Building),Commercial Area,39201,Kochi Prefecture,Kochi City,Akebonocho,Asakura (JR),9,9,9,37000000,,420,0,,,Semi-shaped,8.0,False,350,0,1986,0,S,Housing Complex,House,South,Prefectural Road,8.0,Neighborhood Commercial Zone,80.0,200.0,1st quarter 2017,2017,1,,
