No,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,TradePrice,FloorPlan,Area,AreaIsGreaterFlag,UnitPrice,PricePerTsubo,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Year,Quarter,Renovation,Remarks
1,Residential Land(Land and Building),Commercial Area,41201,Saga Prefecture,Saga City,Aikeicho,Saga,12,12,12,42000000,,260,0,,,Semi-shaped,17.0,False,620,0,1976,0,RC,Shop,Shop,East,City Road,8.0,Commercial Zone,80.0,400.0,1st quarter 2019,2019,1,,
2,"Pre-owned Condominiums, etc.",,41201,Saga Prefecture,Saga City,Aikeicho,Saga,8,8,8,9800000,3LDK,70,0,,,,,False,,0,1987,0,,House,House,,,,Commercial Zone,80.0,400.0,4th quarter 2018,2018,4,Done,
3,Residential Land(Land and Building),Commercial Area,41201,Saga Prefecture,Saga City,Aikeicho,Saga,10,10,10,5100000,,80,0,,,Semi-rectangular Shaped,8.0,False,105,0,1961,0,RC,"House, Other",Shop,West,City Road,8.0,Commercial Zone,80.0,400.0,2nd quarter 2018,2018,2,,
4,Residential Land(Land and Building),Commercial Area,41201,Saga Prefecture,Saga City,Aikeicho,Saga,11,11,11,200000,,30,0,,,Semi-shaped,3.5,False,,0,,0,W,House,Other,South,City Road,5.5,Commercial Zone,80.0,400.0,1st quarter 2017,2017,1,,
5,Residential Land(Land and Building),Commercial Area,41201,Saga Prefecture,Saga City,Aikeicho,Saga,13,13,13,20000000,,250,0,,,Semi-square Shaped,12.0,False,450,0,1988,0,S,"Housing Complex, Parking Lot",Other,North,City Road,3.7,Commercial Zone,80.0,400.0,2nd quarter 2015,2015,2,,
6,Residential Land(Land Only),Commercial Area,41201,Saga Prefecture,Saga City,Aikeicho,Saga,8,8,8,150000000,,2000,1,64000.0,210000.0,Semi-rectangular Shaped,32.0,False,,0,,0,,,,North,City Road,11.0,Commercial Zone,80.0,400.0,4th quarter 2014,2014,4,,
7,Residential Land(Land and Building),Residential Area,41201,Saga Prefecture,Saga City,Akamatsumachi,Saga,30-60minutes,30,60,42000000,,165,0,,,Semi-shaped,20.0,False,,0,2019,0,W,,House,East,City Road,4.0,Category I Residential Zone,60.0,200.0,3rd quarter 2019,2019,3,,
8,Residential Land(Land and Building),Residential Area,41201,Saga Prefecture,Saga City,Akamatsumachi,Saga,30-60minutes,30,60,43000000,,155,0,,,Semi-square Shaped,12.6,False,115,0,2019,0,W,House,House,North,Private Road,4.9,Category I Residential Zone,60.0,200.0,2nd quarter 2019,2019,2,,
9,Residential Land(Land and Building),Residential Area,41201,Saga Prefecture,Saga City,Akamatsumachi,Saga,30-60minutes,30,60,12000000,,400,0,,,Semi-rectangular Shaped,12.0,False,85,0,,0,W,House,Other,North,Private Road,4.0,Category I Exclusively Low-story Residential Zone,50.0,80.0,1st quarter 2019,2019,1,,Dealings including private road
10,Residential Land(Land and Building),Residential Area,41201,Saga Prefecture,Saga City,Akamatsumachi,Saga,30-60minutes,30,60,6800000,,310,0,,,Irregular Shaped,,False,180,0,1954,0,W,House,House,West,City Road,1.8,Category I Exclusively Low-story Residential Zone,50.0,80.0,3rd quarter 2018,2018,3,,
11,Residential Land(Land Only),Residential Area,41201,Saga Prefecture,Saga City,Akamatsumachi,Saga,30-60minutes,30,60,23000000,,320,0,73000.0,240000.0,Semi-rectangular Shaped,10.0,False,,0,,0,,,House,South,City Road,4.5,Neighborhood Commercial Zone,80.0,200.0,2nd quarter 2018,2018,2,,
12,Residential Land(Land and Building),Residential Area,41201,Saga Prefecture,Saga City,Akamatsumachi,Saga,30-60minutes,30,60,14000000,,280,0,,,Semi-rectangular Shaped,,False,175,0,1968,0,W,House,House,West,City Road,4.0,Category I Residential Zone,60.0,200.0,1st quarter 2018,2018,1,,
13,Residential Land(Land Only),Residential Area,41201,Saga Prefecture,Saga City,Akamatsumachi,Saga,30-60minutes,30,60,9300000,,210,0,45000.0,150000.0,Semi-shaped,16.0,False,,0,,0,,,House,South,City Road,3.9,Category I Exclusively Low-story Residential Zone,50.0,80.0,3rd quarter 2017,2017,3,,
14,Residential Land(Land Only),Residential Area,41201,Saga Prefecture,Saga City,Akamatsumachi,Saga,30-60minutes,30,60,11000000,,185,0,60000.0,200000.0,Semi-shaped,,False,,0,,0,,,House,East,City Road,3.9,Category I Residential Zone,60.0,200.0,2nd quarter 2017,2017,2,,
15,Residential Land(Land Only),Residential Area,41201,Saga Prefecture,Saga City,Akamatsumachi,Saga,30-60minutes,30,60,31000000,,560,0,54000.0,180000.0,Irregular Shaped,,False,,0,,0,,,House,East,City Road,3.9,Category I Residential Zone,60.0,200.0,2nd quarter 2017,2017,2,,
16,Residential Land(Land Only),Residential Area,41201,Saga Prefecture,Saga City,Akamatsumachi,Saga,30-60minutes,30,60,420000,,40,0,11000.0,35000.0,Irregular Shaped,3.5,False,,0,,0,,,Other,South,City Road,4.5,Category I Residential Zone,60.0,200.0,4th quarter 2016,2016,4,,
17,Residential Land(Land Only),Residential Area,41201,Saga Prefecture,Saga City,Akamatsumachi,Saga,30-60minutes,30,60,10000000,,195,0,51000.0,170000.0,Semi-square Shaped,13.0,False,,0,,0,,,Other,South,Private Road,3.8,Category I Exclusively Low-story Residential Zone,50.0,80.0,3rd quarter 2016,2016,3,,
18,Residential Land(Land and Building),Residential Area,41201,Saga Prefecture,Saga City,Akamatsumachi,Saga,29,29,29,1800000,,105,0,,,Semi-rectangular Shaped,6.0,False,75,0,,0,W,House,Other,North,City Road,4.0,Neighborhood Commercial Zone,80.0,200.0,2nd quarter 2016,2016,2,,
19,Residential Land(Land and Building),Residential Area,41201,Saga Prefecture,Saga City,Akamatsumachi,Saga,30-60minutes,30,60,10000000,,210,0,,,Semi-trapezoidal Shaped,11.0,False,45,0,,0,W,House,House,North,City Road,4.0,Category I Exclusively Low-story Residential Zone,50.0,80.0,3rd quarter 2015,2015,3,,
20,Residential Land(Land and Building),Residential Area,41201,Saga Prefecture,Saga City,Akamatsumachi,Saga,30-60minutes,30,60,11000000,,200,0,,,Semi-rectangular Shaped,14.2,False,125,0,1998,0,LS,Housing Complex,House,South,Private Road,3.0,Category I Exclusively Low-story Residential Zone,50.0,80.0,1st quarter 2015,2015,1,,
21,Residential Land(Land and Building),Residential Area,41201,Saga Prefecture,Saga City,Akamatsumachi,Saga,30-60minutes,30,60,9000000,,220,0,,,Semi-rectangular Shaped,12.0,False,85,0,1965,0,W,House,House,South,City Road,4.0,Category I Exclusively Low-story Residential Zone,50.0,80.0,4th quarter 2014,2014,4,,Dealings including private road
22,Residential Land(Land and Building),Residential Area,41201,Saga Prefecture,Saga City,Akamatsumachi,Saga,28,28,28,16000000,,240,0,,,Semi-shaped,13.5,False,100,0,,0,W,House,House,East,City Road,8.0,Category I Residential Zone,60.0,200.0,3rd quarter 2014,2014,3,,
23,Residential Land(Land Only),Residential Area,41201,Saga Prefecture,Saga City,Asahimachi,Saga,30-60minutes,30,60,16000000,,490,0,32000.0,110000.0,Irregular Shaped,,False,,0,,0,,,House,South,City Road,4.0,Category I Exclusively Medium-high Residential Zone,60.0,200.0,3rd quarter 2018,2018,3,,
24,Residential Land(Land and Building),Residential Area,41201,Saga Prefecture,Saga City,Asahimachi,Saga,30-60minutes,30,60,2600000,,195,0,,,Rectangular Shaped,9.0,False,70,0,,0,W,House,House,South,Private Road,2.2,Category I Exclusively Medium-high Residential Zone,60.0,200.0,4th quarter 2016,2016,4,,Dealings including private road
25,Residential Land(Land and Building),Residential Area,41201,Saga Prefecture,Saga City,Asahimachi,Saga,30-60minutes,30,60,10000000,,280,0,,,Rectangular Shaped,14.5,False,110,0,1967,0,W,House,,East,City Road,4.0,Category I Exclusively Medium-high Residential Zone,60.0,150.0,1st quarter 2014,2014,1,,
26,Residential Land(Land and Building),Residential Area,41201,Saga Prefecture,Saga City,Isemachi,Saga,24,24,24,170000000,,800,0,,,Irregular Shaped,13.5,False,860,0,2007,0,RC,Housing Complex,House,East,City Road,8.0,Neighborhood Commercial Zone,80.0,200.0,2nd quarter 2019,2019,2,,
27,Residential Land(Land Only),Residential Area,41201,Saga Prefecture,Saga City,Isemachi,Saga,23,23,23,7300000,,440,0,16000.0,54000.0,Semi-rectangular Shaped,15.0,False,,0,,0,,,House,North,Private Road,4.0,Category I Residential Zone,60.0,200.0,3rd quarter 2018,2018,3,,Dealings including private road
28,Residential Land(Land and Building),Residential Area,41201,Saga Prefecture,Saga City,Isemachi,Saga,23,23,23,8800000,,145,0,,,Rectangular Shaped,8.0,False,135,0,1995,0,W,House,House,Northeast,City Road,3.5,Category I Residential Zone,60.0,200.0,2nd quarter 2018,2018,2,,
29,Residential Land(Land Only),Residential Area,41201,Saga Prefecture,Saga City,Isemachi,Saga,25,25,25,12000000,,380,0,30000.0,99000.0,Rectangular Shaped,10.0,False,,0,,0,,,House,East,City Road,8.0,Neighborhood Commercial Zone,80.0,200.0,2nd quarter 2018,2018,2,,
