No,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,TradePrice,FloorPlan,Area,AreaIsGreaterFlag,UnitPrice,PricePerTsubo,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Year,Quarter,Renovation,Remarks
1,Forest Land,,18201,Fukui Prefecture,Fukui City,Akasakacho,,,,,130000,,185,0,,,,,False,,0,,0,,,,,,,,,,1st quarter 2019,2019,1,,
2,Residential Land(Land and Building),Residential Area,18201,Fukui Prefecture,Fukui City,Akaricho,Fukui (Fukui),30-60minutes,30,60,10000000,,330,0,,,Semi-rectangular Shaped,9.4,False,,0,,0,,,Other,North,City Road,8.0,Category II Residential Zone,60.0,200.0,3rd quarter 2019,2019,3,,
3,Residential Land(Land and Building),Residential Area,18201,Fukui Prefecture,Fukui City,Akaricho,Fukui (Fukui),30-60minutes,30,60,400000,,80,0,,,Rectangular Shaped,4.7,False,,0,,0,W,House,Other,North,City Road,7.0,Category I Residential Zone,60.0,200.0,1st quarter 2019,2019,1,,
4,Residential Land(Land Only),Residential Area,18201,Fukui Prefecture,Fukui City,Akaricho,Fukui (Fukui),30-60minutes,30,60,21000000,,420,0,49000.0,160000.0,Rectangular Shaped,23.0,False,,0,,0,,,House,South,City Road,8.0,Quasi-industrial Zone,60.0,200.0,1st quarter 2018,2018,1,,
5,Residential Land(Land Only),Residential Area,18201,Fukui Prefecture,Fukui City,Akaricho,Fukui (Fukui),30-60minutes,30,60,8000000,,220,0,36000.0,120000.0,Semi-trapezoidal Shaped,25.2,False,,0,,0,,,Other,Southwest,City Road,11.0,Category II Residential Zone,60.0,200.0,4th quarter 2017,2017,4,,
6,Residential Land(Land and Building),Residential Area,18201,Fukui Prefecture,Fukui City,Akaricho,Fukui (Fukui),29,29,29,1500000,,90,0,,,Semi-rectangular Shaped,7.0,False,100,0,1973,0,W,House,House,North,City Road,4.0,Quasi-industrial Zone,60.0,200.0,4th quarter 2017,2017,4,,
7,Residential Land(Land Only),Residential Area,18201,Fukui Prefecture,Fukui City,Akaricho,Fukui (Fukui),30-60minutes,30,60,18000000,,370,0,49000.0,160000.0,Semi-rectangular Shaped,13.0,False,,0,,0,,,,North,Road,4.5,Quasi-industrial Zone,60.0,200.0,4th quarter 2017,2017,4,,
8,Residential Land(Land and Building),Residential Area,18201,Fukui Prefecture,Fukui City,Akaricho,Fukui (Fukui),30-60minutes,30,60,20000000,,270,0,,,Square Shaped,16.8,False,450,0,1990,0,S,"House, Housing Complex, Shop",House,North,City Road,8.0,Category I Residential Zone,60.0,200.0,3rd quarter 2016,2016,3,,
9,Residential Land(Land Only),Commercial Area,18201,Fukui Prefecture,Fukui City,Akaricho,Fukui (Fukui),30-60minutes,30,60,6800000,,320,0,21000.0,70000.0,Semi-trapezoidal Shaped,34.5,False,,0,,0,,,,West,Prefectural Road,20.5,Category II Residential Zone,60.0,200.0,4th quarter 2015,2015,4,,
10,Residential Land(Land Only),Residential Area,18201,Fukui Prefecture,Fukui City,Akaricho,Fukui (Fukui),30-60minutes,30,60,8800000,,330,0,26000.0,87000.0,Semi-rectangular Shaped,9.5,False,,0,,0,,,,North,City Road,8.0,Category II Residential Zone,60.0,200.0,4th quarter 2015,2015,4,,
11,Residential Land(Land Only),Commercial Area,18201,Fukui Prefecture,Fukui City,Akaricho,Fukui (Fukui),30-60minutes,30,60,11000000,,320,0,34000.0,110000.0,Semi-trapezoidal Shaped,34.5,False,,0,,0,,,,West,Prefectural Road,20.5,Category II Residential Zone,60.0,200.0,4th quarter 2015,2015,4,,
12,Residential Land(Land Only),Residential Area,18201,Fukui Prefecture,Fukui City,Akaricho,Fukui (Fukui),30-60minutes,30,60,1900000,,95,0,20000.0,67000.0,Rectangular Shaped,4.6,False,,0,,0,,,House,North,City Road,7.0,Category I Residential Zone,60.0,200.0,3rd quarter 2015,2015,3,,
13,Residential Land(Land Only),Residential Area,18201,Fukui Prefecture,Fukui City,Akaricho,Fukui (Fukui),30-60minutes,30,60,3400000,,105,0,33000.0,110000.0,Irregular Shaped,7.0,False,,0,,0,,,,South,Road,2.0,Quasi-industrial Zone,60.0,200.0,2nd quarter 2014,2014,2,,
14,Residential Land(Land Only),Residential Area,18201,Fukui Prefecture,Fukui City,Akaricho,Fukui (Fukui),30-60minutes,30,60,5000000,,135,0,37000.0,120000.0,Semi-rectangular Shaped,7.7,False,,0,,0,,,,South,Road,2.0,Quasi-industrial Zone,60.0,200.0,2nd quarter 2014,2014,2,,
15,Residential Land(Land Only),Commercial Area,18201,Fukui Prefecture,Fukui City,Akaricho,Fukui (Fukui),30-60minutes,30,60,10000000,,160,0,63000.0,210000.0,Semi-rectangular Shaped,3.4,False,,0,,0,,,,South,Prefectural Road,13.6,Quasi-industrial Zone,60.0,200.0,2nd quarter 2014,2014,2,,
16,Residential Land(Land Only),Residential Area,18201,Fukui Prefecture,Fukui City,Ajimikochicho,Fukui (Fukui),2H-,120,,15000,,570,0,26.0,87.0,Semi-shaped,20.0,False,,0,,0,,,Other,Southwest,City Road,8.0,Outside City Planning Area,,,3rd quarter 2018,2018,3,,
17,Residential Land(Land and Building),Residential Area,18201,Fukui Prefecture,Fukui City,Ajimikochicho,Miyama,2H-,120,,10000,,260,0,,,Semi-trapezoidal Shaped,18.7,False,,0,,0,,,,Southwest,City Road,8.5,Outside City Planning Area,,,4th quarter 2017,2017,4,,
18,Residential Land(Land and Building),Residential Area,18201,Fukui Prefecture,Fukui City,Ajimikochicho,Miyama,2H-,120,,300000,,690,0,,,Irregular Shaped,12.6,False,,0,,0,W,House,House,Southwest,City Road,7.7,Outside City Planning Area,,,3rd quarter 2016,2016,3,,
19,Agricultural Land,,18201,Fukui Prefecture,Fukui City,Ajimikochicho,,,,,20000,,1300,0,,,,,False,,0,,0,,,,,,,,,,3rd quarter 2018,2018,3,,
20,Forest Land,,18201,Fukui Prefecture,Fukui City,Ajimikochicho,,,,,20000,,390,0,,,,,False,,0,,0,,,,,,,,,,4th quarter 2017,2017,4,,
21,Forest Land,,18201,Fukui Prefecture,Fukui City,Ajimikochicho,,,,,100000,,4700,0,,,,,False,,0,,0,,,,,,,,,,2nd quarter 2017,2017,2,,
22,Forest Land,,18201,Fukui Prefecture,Fukui City,Ajimikochicho,,,,,40000,,3500,0,,,,,False,,0,,0,,,,,,,,,,3rd quarter 2016,2016,3,,
23,Forest Land,,18201,Fukui Prefecture,Fukui City,Ajimikochicho,,,,,20000,,5000,1,,,,,False,,0,,0,,,,,,,,,,3rd quarter 2016,2016,3,,
24,Agricultural Land,,18201,Fukui Prefecture,Fukui City,Ajimikochicho,,,,,8600,,190,0,,,,,False,,0,,0,,,,,,,,,,2nd quarter 2016,2016,2,,
25,Agricultural Land,,18201,Fukui Prefecture,Fukui City,Ajimikochicho,,,,,5100,,170,0,,,,,False,,0,,0,,,,,,,,,,1st quarter 2015,2015,1,,
26,Forest Land,,18201,Fukui Prefecture,Fukui City,Ajimikochicho,,,,,11000,,220,0,,,,,False,,0,,0,,,,,,,,,,2nd quarter 2014,2014,2,,
27,Forest Land,,18201,Fukui Prefecture,Fukui City,Ajimikochicho,,,,,6000,,120,0,,,,,False,,0,,0,,,,,,,,,,2nd quarter 2014,2014,2,,
