No,Type,Region,MunicipalityCode,Prefecture,Municipality,DistrictName,NearestStation,TimeToNearestStation,MinTimeToNearestStation,MaxTimeToNearestStation,TradePrice,FloorPlan,Area,AreaIsGreaterFlag,UnitPrice,PricePerTsubo,LandShape,Frontage,FrontageIsGreaterFlag,TotalFloorArea,TotalFloorAreaIsGreaterFlag,BuildingYear,PrewarBuilding,Structure,Use,Purpose,Direction,Classification,Breadth,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Year,Quarter,Renovation,Remarks
1,Residential Land(Land and Building),Residential Area,38201,Ehime Prefecture,Matsuyama City,Aikocho,Kinuyama,11,11,11,29000000,,150,0,,,Semi-trapezoidal Shaped,10.5,False,120,0,2012,0,W,House,House,Southeast,City Road,4.5,Category I Residential Zone,60.0,200.0,4th quarter 2017,2017,4,,
2,Residential Land(Land Only),Residential Area,38201,Ehime Prefecture,Matsuyama City,Aikocho,Kinuyama,10,10,10,37000000,,300,0,120000.0,410000.0,Semi-trapezoidal Shaped,7.0,False,,0,,0,,,Other,North,City Road,4.0,Category I Residential Zone,60.0,200.0,3rd quarter 2016,2016,3,,
3,Residential Land(Land Only),Residential Area,38201,Ehime Prefecture,Matsuyama City,Aikocho,Kinuyama,11,11,11,4000000,,35,0,120000.0,400000.0,Semi-rectangular Shaped,,False,,0,,0,,,Other,West,Road,4.6,Category I Residential Zone,60.0,200.0,3rd quarter 2016,2016,3,,
4,Residential Land(Land and Building),Residential Area,38201,Ehime Prefecture,Matsuyama City,Aikocho,Komachi,11,11,11,24000000,,280,0,,,Semi-square Shaped,17.5,False,80,0,1982,0,S,Factory,House,North,City Road,5.3,Quasi-industrial Zone,60.0,200.0,4th quarter 2017,2017,4,,
5,Residential Land(Land and Building),Residential Area,38201,Ehime Prefecture,Matsuyama City,Aikocho,Komachi,7,7,7,77000000,,620,0,,,Semi-rectangular Shaped,,False,690,0,1986,0,RC,Housing Complex,House,South,Private Road,4.0,Quasi-industrial Zone,60.0,200.0,2nd quarter 2016,2016,2,,Dealings including private road
6,Residential Land(Land and Building),Residential Area,38201,Ehime Prefecture,Matsuyama City,Aikocho,Komachi,7,7,7,5000000,,100,0,,,Irregular Shaped,5.0,False,55,0,1987,0,W,House,House,East,Private Road,2.0,Quasi-industrial Zone,60.0,200.0,2nd quarter 2014,2014,2,,
7,Residential Land(Land Only),Residential Area,38201,Ehime Prefecture,Matsuyama City,Aikocho,Komachi,9,9,9,4200000,,55,0,79000.0,260000.0,Irregular Shaped,3.0,False,,0,,0,,,,No facing road,,,Category I Residential Zone,60.0,200.0,1st quarter 2014,2014,1,,Dealings of adjacent land
8,Residential Land(Land and Building),Residential Area,38201,Ehime Prefecture,Matsuyama City,Aikocho,Miyatacho,5,5,5,36000000,,130,0,,,Rectangular Shaped,9.0,False,,0,,0,,,House,North,Private Road,,Quasi-industrial Zone,60.0,200.0,4th quarter 2018,2018,4,,
9,Residential Land(Land and Building),Residential Area,38201,Ehime Prefecture,Matsuyama City,Aikocho,Miyatacho,8,8,8,19000000,,320,0,,,Rectangular Shaped,,False,115,0,,0,W,House,House,South,Private Road,,Quasi-industrial Zone,60.0,200.0,4th quarter 2018,2018,4,,
10,Residential Land(Land Only),Residential Area,38201,Ehime Prefecture,Matsuyama City,Aikocho,Miyatacho,6,6,6,9900000,,85,0,120000.0,400000.0,Semi-shaped,9.0,False,,0,,0,,,Other,North,City Road,4.0,Quasi-industrial Zone,60.0,200.0,3rd quarter 2018,2018,3,,
11,Residential Land(Land Only),Residential Area,38201,Ehime Prefecture,Matsuyama City,Aikocho,Miyatacho,8,8,8,17000000,,150,0,110000.0,370000.0,Rectangular Shaped,11.0,False,,0,,0,,,,East,Private Road,4.0,Quasi-industrial Zone,60.0,200.0,3rd quarter 2018,2018,3,,
12,Residential Land(Land Only),Residential Area,38201,Ehime Prefecture,Matsuyama City,Aikocho,Miyatacho,10,10,10,19000000,,190,0,100000.0,330000.0,Irregular Shaped,15.0,False,,0,,0,,,House,South,Private Road,4.0,Category I Residential Zone,60.0,200.0,2nd quarter 2018,2018,2,,
13,Residential Land(Land Only),Residential Area,38201,Ehime Prefecture,Matsuyama City,Aikocho,Miyatacho,5,5,5,12000000,,130,0,91000.0,300000.0,Rectangular Shaped,9.0,False,,0,,0,,,House,North,Private Road,4.0,Quasi-industrial Zone,60.0,200.0,2nd quarter 2018,2018,2,,
14,Residential Land(Land Only),Residential Area,38201,Ehime Prefecture,Matsuyama City,Aikocho,Miyatacho,5,5,5,19000000,,145,0,130000.0,430000.0,Rectangular Shaped,,False,,0,,0,,,Other,South,City Road,6.0,Quasi-industrial Zone,60.0,200.0,4th quarter 2017,2017,4,,
15,Residential Land(Land Only),Residential Area,38201,Ehime Prefecture,Matsuyama City,Aikocho,Miyatacho,5,5,5,9300000,,75,0,120000.0,410000.0,Rectangular Shaped,10.9,False,,0,,0,,,Other,South,City Road,6.0,Quasi-industrial Zone,60.0,200.0,4th quarter 2017,2017,4,,
16,Residential Land(Land Only),Residential Area,38201,Ehime Prefecture,Matsuyama City,Aikocho,Miyatacho,5,5,5,4600000,,40,0,120000.0,400000.0,Rectangular Shaped,5.5,False,,0,,0,,,Other,North,City Road,6.0,Neighborhood Commercial Zone,80.0,300.0,4th quarter 2017,2017,4,,
17,Residential Land(Land Only),Residential Area,38201,Ehime Prefecture,Matsuyama City,Aikocho,Miyatacho,5,5,5,21000000,,165,0,130000.0,420000.0,Rectangular Shaped,,False,,0,,0,,,Other,North,City Road,6.0,Neighborhood Commercial Zone,80.0,300.0,4th quarter 2017,2017,4,,
18,Residential Land(Land Only),Residential Area,38201,Ehime Prefecture,Matsuyama City,Aikocho,Miyatacho,5,5,5,6400000,,50,0,130000.0,420000.0,Rectangular Shaped,7.2,False,,0,,0,,,Other,North,City Road,6.0,Neighborhood Commercial Zone,80.0,300.0,3rd quarter 2017,2017,3,,
19,Residential Land(Land Only),Residential Area,38201,Ehime Prefecture,Matsuyama City,Aikocho,Miyatacho,7,7,7,20000000,,250,0,76000.0,250000.0,Trapezoidal Shaped,11.5,False,,0,,0,,,House,South,City Road,4.0,Category I Residential Zone,60.0,200.0,2nd quarter 2017,2017,2,,
20,Residential Land(Land Only),Residential Area,38201,Ehime Prefecture,Matsuyama City,Aikocho,Miyatacho,9,9,9,11000000,,135,0,83000.0,270000.0,Rectangular Shaped,8.0,False,,0,,0,,,Other,East,Private Road,,Category I Residential Zone,60.0,200.0,1st quarter 2017,2017,1,,
21,Residential Land(Land Only),Residential Area,38201,Ehime Prefecture,Matsuyama City,Aikocho,Miyatacho,9,9,9,24000000,,260,0,93000.0,310000.0,Semi-trapezoidal Shaped,11.8,False,,0,,0,,,House,South,Road,4.0,Category I Residential Zone,60.0,200.0,3rd quarter 2016,2016,3,,
22,Residential Land(Land Only),Residential Area,38201,Ehime Prefecture,Matsuyama City,Aikocho,Miyatacho,7,7,7,19000000,,160,0,120000.0,390000.0,Semi-rectangular Shaped,21.0,False,,0,,0,,,House,East,City Road,4.0,Quasi-industrial Zone,60.0,200.0,3rd quarter 2016,2016,3,,
23,Residential Land(Land Only),Residential Area,38201,Ehime Prefecture,Matsuyama City,Aikocho,Miyatacho,6,6,6,62000000,,480,0,130000.0,420000.0,Irregular Shaped,42.0,False,,0,,0,,,Other,South,City Road,6.5,Category I Residential Zone,60.0,200.0,1st quarter 2016,2016,1,,
