DistrictName,Latitude,Longitude
Takadanobaba,35.712046400000006,139.70230989028488
Minamikarasuyama,35.6725682,139.6015045
Higashikasai,35.6587052,139.8778653
Ikebukurohoncho,35.7406128,139.71475110804772
Higashicho,35.6957178,139.5292798
Yaguchi,35.56366695,139.70397326028842
Taishido,35.6475328,139.671095
Mukojima,27.6799145,142.14292286153847
Yotsuya,35.6861572,139.72881333297673
Higashikanamachi,35.777178,139.8805745
Shimoochiai,35.72039215,139.69697629573045
Ebisu,35.6469738,139.7086461
Asakusa,35.7175966,139.7975626
Matsue,35.699409,139.8733519
Hommachida,,
Shibamata,35.7564295,139.8751807
Towa,35.77005495,139.84033414540306
Nishikoiwa,35.7379828,139.8801967
Nakaochiai,35.7189217,139.6839845
Midori,35.69456194999999,139.80328082873706
Kugayama,35.6878915,139.60026146232696
Hanakoganei,35.7334962,139.5134338
Kyodo,35.65135,139.6366816
Sekimachiminami,,
Naritahigashi,35.6992332,139.6321911
Mukodaicho,35.7210462,139.5358856
Nakazato,35.7368679,139.7495701
Kamisoshigaya,35.6548717,139.6009246
Kanamachi,35.7695843,139.8706926
Chitosedai,35.6593179,139.6148693
Negishi,35.5752717,139.4116855
Kamishakujii,35.72818715,139.5879182148819
Midorigaoka,35.6065821,139.6790041
Higashiyukigaya,,
Nishiogikita,35.704675,139.60864
Okudo,35.737307,139.86634
Nishikicho,35.6921186,139.4148078
Minaminagasaki,35.72468245,139.68368505483596
Minamishinagawa,35.61269205,139.74366233746898
Shinozakimachi,35.6986678,139.9132563
Tsukishima,35.6631252,139.78119426564774
Himon-ya,35.6228269,139.6872944
Shimoigusa,35.7231447,139.6252256
Soshigaya,35.6432912,139.6097735
Nishiochiai,35.720838,139.6769303
Kamimeguro,35.6528634,139.6881476
Toshima,35.736156,139.714222
Akabanenishi,,
Yushima,35.7079466,139.7700559
Akitsucho,,
Kokuryocho,35.6452857,139.5584658
Nagasaki,35.7232511,139.6836262
Akatsutsumi,35.6629307,139.640581
Wakamatsucho,35.7001758,139.7176301
Nakadai,35.7703802,139.6799156
Saginomiya,35.7226521,139.639543
Hatagaya,35.6772317,139.6768293
Higashishinagawa,35.6154624,139.7478044
Kabemachi,35.7810198,139.2880925
Ichibancho,35.68735,139.741509
Tamagawagakuen,35.564671,139.4628312
Higashikoiwa,35.73173,139.894203
Owadamachi,35.665378,139.351478
Edogawa,35.678278,139.871091
Nakahara,35.6648817,139.5746696
Kamitakaido,35.6771984,139.6142913
Yoga,35.6266155,139.6342048
Fuda,35.6498032,139.5517883
Shinonome,35.644382,139.8023696573841
Jinguumae,35.6748417,139.69962659091632
Yahara,35.7491463,139.6187387
Nanakuni,35.617137,139.323201
Asahicho,35.6559238,139.338163
Nerima,35.7506445,139.6162651
Takasago,35.7509396,139.8671221
Kameari,35.7666652,139.8478007
Mejiro,35.7211861,139.7064823
Ishiwara,35.700263,139.801502
Mejirodai,35.6434031,139.30772
Minamiotsuka,35.8939236,139.4553552
Shimoshakujii,,
Nishioi,35.5969388,139.7225219
Aoi,35.7717439,139.8203104
Minamiazabu,35.65052235,139.72389940630845
Kamikitazawa,35.6671223,139.6247023
Higashinihombashi,,
Oyata,35.78093135,139.84283183161045
Takanodai,35.723362,139.4612069
Tsukuda,35.667536,139.78485046534593
Minamidai,35.683521,139.667254
Kamiochiai,35.7135024,139.6885134
Iriya,,
Wakabayashi,35.6459516,139.6598567
Shimo,35.7779045,139.7325256
Nakaikegami,,
Minamikasai,,
Oyamamachi,35.5956062,139.3770822
Shibakubocho,,
Togoshi,35.6145052,139.7164218
Shimmei,35.6531383,139.7402071
Daita,35.6559645,139.6608411
Kitaotsuka,,
Nakamurakita,,
Hokima,35.79852785,139.8060489735427
Hatanodai,35.6051865,139.7033846
Kumegawacho,35.7720684,139.4777666
Toneri,35.8112696,139.77124771706644
Sakashita,35.7849189,139.6849645
Minamidaira,35.6546404,139.3919562
Nishiazabu,35.6582556,139.7238813
Seta,35.6211026,139.6313576
Shikahama,35.7819508,139.751957756036
Nishiarai,35.777253,139.790321
Kamirenjaku,35.6987444,139.5548857
Ikejiri,35.6477383,139.6787882
Eifuku,35.6769648,139.641321
Nishigahara,35.7460496,139.7421722
Amanuma,35.7062732,139.6227287
Koenjikita,,
Kitami,35.6366224,139.5871981
Yotsugi,35.7317433,139.8348561
Asagayaminami,35.7020498,139.6373057
Haramachida,35.5431087,139.4505799
Kamitakada,35.712836,139.6747493
Setagaya,35.646096,139.65627
Chuocho,35.6315868,139.6893355
Sunagawacho,35.7285722,139.4023623
Nihombashikakigaracho,,
Komagome,35.7365848,139.7472412
Izumicho,35.7669048,139.7007048
Sangenjaya,,
Higashijujo,35.7609612,139.7311443
Hamadayama,35.6816115,139.6274386
Azusawa,35.7779319,139.697781
Shiraitodai,35.6665122,139.5097795
Hayamiya,35.748396,139.652598
Okubo,35.7007944,139.6973764
Komone,35.74956615,139.67983377784626
Nishisugamo,35.7441429,139.7280658
Hikawadai,35.7497818,139.6650083
Tachibana,35.7106072,139.8322279
Sendagaya,35.6818379,139.7074785
Tsuruma,35.5078478,139.468248
Ginza,35.66951555,139.76430559879972
Minamiogikubo,35.7005095,139.6127907
Nakamagome,,
Igusa,35.7268135,139.6140079
Komazawa,35.6309734,139.6565772
Yanaka,35.721218,139.7660417
Kaminoge,35.6120355,139.6389238
Katakuramachi,35.6341846,139.3411349
Nishirokugo,35.5463823,139.7046187
Ukima,35.7905901,139.7004698
Arai,35.7136788,139.6670016
Sumida,35.7003789,139.8058673
Taito,35.71745,139.790859
Minamiyukigaya,35.5919239,139.68802644544678
Hanahata,35.806512,139.81230923989727
Chuohoncho,35.7725238,139.80708161804208
Ominami,26.60513105,127.9777606
Aobadai,35.6482209,139.6970724
Omorihoncho,,
Mizumoto,35.78784455,139.8694186452554
Oji,35.7539405,139.7374489
Yanokuchi,35.641655,139.5205089
Tenjincho,35.7054017,139.730891
Funabori,35.6838309,139.864297
Honan,35.680503,139.6582853
Minamioya,,
Kamiogi,35.7082678,139.6112999846759
Mure,35.6871232,139.5800341
Kitazawa,35.6634677,139.668154
Nakarokugo,35.54685565,139.71161357304908
Shinkoiwa,35.717189,139.851141
Matsushima,35.7045227,139.8649821
Kotobashi,35.6924579,139.81118695525404
Somechi,35.6395154,139.55593384819326
Tamadaira,35.6667994,139.3853932
Shimizu,35.7126525,139.6169502
Sandamachi,35.6498982,139.3148733
Shiratori,35.749557,139.8478372
Honjo,35.70380125,139.80156487375257
Nishiogiminami,35.7010053,139.6030934
Higashikoigakubo,35.713125,139.470007
