run_id,study_name,split_name,model_name,rmse_log,r2_log,rmse_yen,mae_yen,r2_yen
run_20260601T230533485254Z,residential_land_and_building,train,xgb,0.37683193951006766,0.8721965479169809,93445336.20468752,9446050.730026448,0.8005097338549308
run_20260601T230533485254Z,residential_land_and_building,train,lgbm,0.40368530549742293,0.8533327816188538,102506529.07633892,10287791.279469347,0.7599456917810015
run_20260601T230533485254Z,residential_land_and_building,train,enet,0.705290285620634,0.5523042437973119,189973371.37846637,20618691.43352668,0.17549763065051505
run_20260601T230533485254Z,residential_land_and_building,train,svr,0.7100011436078557,0.5463036661154199,190754909.92016128,20551841.670238543,0.16869977424648852
run_20260601T230533485254Z,residential_land_and_building,validation,lgbm,0.5548327232668039,0.7688097845005946,95668949.696675,13144515.562133592,0.5561991044342496
run_20260601T230533485254Z,residential_land_and_building,validation,xgb,0.5535327361342994,0.7698918843885767,99536225.66300103,13191422.216756178,0.5195939153999829
run_20260601T230533485254Z,residential_land_and_building,validation,enet,0.776612372518461,0.5470461810140569,130546680.38739222,21142138.78570459,0.17362374872890907
run_20260601T230533485254Z,residential_land_and_building,validation,svr,0.7752789573955486,0.5486002561012964,130834078.44014096,20913037.614127673,0.1699812148664227
run_20260601T230533485254Z,residential_land_and_building,test,lgbm,0.595754082640507,0.7553201685744297,106844801.90600751,14425745.89695771,0.5708188859757706
run_20260601T230533485254Z,residential_land_and_building,test,xgb,0.5948335670280006,0.7560757071624264,109490351.0091271,14506389.469080202,0.5493021332962298
run_20260601T230533485254Z,residential_land_and_building,test,enet,0.8299176140134256,0.5251744473984628,149856251.0098268,23361457.596850947,0.15572576995932097
run_20260601T230533485254Z,residential_land_and_building,test,svr,0.8243150128036556,0.5315637051891045,150098426.85235867,23053890.811570138,0.15299477898465297
run_20260601T230533485254Z,residential_land_only,train,xgb,0.1747305463675251,0.9830301717038581,23077054.63848528,2786271.9983899835,0.9769383575980537
run_20260601T230533485254Z,residential_land_only,train,lgbm,0.6085805736513333,0.7941381133016329,113688937.47193053,10001385.220997894,0.4402863579562445
run_20260601T230533485254Z,residential_land_only,train,svr,0.9507051374857498,0.49762102001947517,142489939.0237584,17034189.401740428,0.12077935298891096
run_20260601T230533485254Z,residential_land_only,train,enet,0.9434330666877144,0.5052771542724738,144135213.35884303,17190650.57649173,0.10035811349049217
run_20260601T230533485254Z,residential_land_only,validation,xgb,0.6963942611140606,0.745678729575777,78562100.0721562,9223701.092058947,0.4697129984894408
run_20260601T230533485254Z,residential_land_only,validation,lgbm,0.7048156395112293,0.7394906100087533,80334114.31248176,9692723.095308071,0.4455213439836425
run_20260601T230533485254Z,residential_land_only,validation,svr,1.0006658327673583,0.47488979324609815,100711131.30053848,15457201.300614078,0.12855544179293377
run_20260601T230533485254Z,residential_land_only,validation,enet,1.00369201274753,0.4717089495296819,102207151.37449896,15731451.305281678,0.10247329033490138
run_20260601T230533485254Z,residential_land_only,test,lgbm,0.7617589711444398,0.7129942300033651,83248048.93699734,10967722.027736848,0.47299483019526933
run_20260601T230533485254Z,residential_land_only,test,xgb,0.7531178966092055,0.7194686453675347,83971165.79696319,10556176.79070456,0.46379962521447715
run_20260601T230533485254Z,residential_land_only,test,svr,1.0601681331080406,0.44408938786798446,108027080.60962738,16999083.66723226,0.11257424834921592
run_20260601T230533485254Z,residential_land_only,test,enet,1.0728905629448495,0.43066704453620885,109699198.33824542,17384251.703283813,0.08488925333116892
run_20260601T230533485254Z,pre_owned_condominiums,train,xgb,0.24725431301278505,0.906615249942009,8810045.812617257,2697499.1585713546,0.8374123502051081
run_20260601T230533485254Z,pre_owned_condominiums,train,lgbm,0.279302788221503,0.8808377345725139,10599383.180697244,2965348.9758800636,0.7646618119904661
run_20260601T230533485254Z,pre_owned_condominiums,train,enet,0.5265546078994103,0.576478907719157,3764466379430652.5,8082920539380.852,-2.9685069184184676e+16
run_20260601T230533485254Z,pre_owned_condominiums,train,svr,0.5308376223436546,0.5695610143656207,3.393525570618279e+18,7278682740164603.0,-2.4123119700610214e+22
run_20260601T230533485254Z,pre_owned_condominiums,validation,lgbm,0.32491865916146906,0.8412658915543153,24911787.239386596,4235327.085925281,0.5135228113431923
run_20260601T230533485254Z,pre_owned_condominiums,validation,xgb,0.3272496433266926,0.8389801876903672,26374920.836921692,4227570.857517805,0.45470057721407253
run_20260601T230533485254Z,pre_owned_condominiums,validation,enet,0.5484644332692767,0.5477090563289045,2.126745970539389e+16,66564113460470.734,-3.545552705593151e+17
run_20260601T230533485254Z,pre_owned_condominiums,validation,svr,0.5467671338573028,0.5505040791986129,2.003594372554466e+19,6.270946909469061e+16,-3.146822993428179e+23
run_20260601T230533485254Z,pre_owned_condominiums,test,lgbm,0.3568677726669518,0.8070564284058688,13132275.841526393,5109770.082714243,0.6946913365315595
run_20260601T230533485254Z,pre_owned_condominiums,test,xgb,0.35964237084775025,0.8040445454339726,13308207.981097873,5119189.499898966,0.6864561447528266
run_20260601T230533485254Z,pre_owned_condominiums,test,enet,0.5919628181989286,0.46911004131158374,1.2553589983578218e+16,63029569919907.93,-2.7899409733593434e+17
run_20260601T230533485254Z,pre_owned_condominiums,test,svr,0.5933818145956253,0.4665617939504002,1.1195808834154668e+19,5.591975104653602e+16,-2.21906530821005e+23
